Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2018T2;Desde España con el exterior;Unión Europea;4139971345,02
2018T3;Dentro de España;Dentro de España;3404683340
2018T3;Desde el exterior con España;América Latina;136012766,85
2018T3;Desde el exterior con España;Asia Pacífico;111140334,65
2018T3;Desde el exterior con España;C.E.M.E.A.;164227424,18
2018T3;Desde el exterior con España;Estados Unidos;107274318,3
2018T3;Desde el exterior con España;Resto;26444894,01
2018T3;Desde el exterior con España;Unión Europea;1378918852,04
2018T3;Desde España con el exterior;América Latina;11198455,11
2018T3;Desde España con el exterior;Asia Pacífico;66611520,87
2018T3;Desde España con el exterior;C.E.M.E.A.;59334597,12
2018T3;Desde España con el exterior;Estados Unidos;111583123,66
2018T3;Desde España con el exterior;Resto;14305712,78
2018T3;Desde España con el exterior;Unión Europea;4524396310,41
2018T4;Dentro de España;Dentro de España;3563695282,98
2018T4;Desde el exterior con España;América Latina;126787703,44
2018T4;Desde el exterior con España;Asia Pacífico;106707839,43
2018T4;Desde el exterior con España;C.E.M.E.A.;179768949,81
2018T4;Desde el exterior con España;Estados Unidos;91379350,11
2018T4;Desde el exterior con España;Resto;24931920,85
2018T4;Desde el exterior con España;Unión Europea;1235585993,41
2018T4;Desde España con el exterior;América Latina;12006534,34
2018T4;Desde España con el exterior;Asia Pacífico;67953992,58
2018T4;Desde España con el exterior;C.E.M.E.A.;53526739,55
2018T4;Desde España con el exterior;Estados Unidos;108964654,17
2018T4;Desde España con el exterior;Resto;15644485,43
2018T4;Desde España con el exterior;Unión Europea;5233032435,59
2019T1;Dentro de España;Dentro de España;3539895258,42
2019T1;Desde el exterior con España;América Latina;138324097,43
2019T1;Desde el exterior con España;Asia Pacífico;140911770,7
2019T1;Desde el exterior con España;C.E.M.E.A.;258241525,13
2019T1;Desde el exterior con España;Estados Unidos;116533136,38
2019T1;Desde el exterior con España;Resto;32315772,16
2019T1;Desde el exterior con España;Unión Europea;1489932403,55
2019T1;Desde España con el exterior;América Latina;12126215,05
2019T1;Desde España con el exterior;Asia Pacífico;52956564,26
2019T1;Desde España con el exterior;C.E.M.E.A.;63606203,44
2019T1;Desde España con el exterior;Estados Unidos;108241563,18
2019T1;Desde España con el exterior;Resto;17918668,17
2019T1;Desde España con el exterior;Unión Europea;4998196188,58
2019T2;Dentro de España;Dentro de España;3790781436,41
2019T2;Desde el exterior con España;América Latina;160076426,85
2019T2;Desde el exterior con España;Asia Pacífico;227627944,44
2019T2;Desde el exterior con España;C.E.M.E.A.;342953670,08
2019T2;Desde el exterior con España;Estados Unidos;136652456,04
2019T2;Desde el exterior con España;Resto;53343213,94
2019T2;Desde el exterior con España;Unión Europea;1700272046,51
2019T2;Desde España con el exterior;América Latina;11236799,2
2019T2;Desde España con el exterior;Asia Pacífico;55406653,5
2019T2;Desde España con el exterior;C.E.M.E.A.;68215170,26
2019T2;Desde España con el exterior;Estados Unidos;117567986,59
2019T2;Desde España con el exterior;Resto;17224828,3
2019T2;Desde España con el exterior;Unión Europea;5317338158,18
2019T3;Dentro de España;Dentro de España;3783168351,86
2019T3;Desde el exterior con España;América Latina;163387374,66
2019T3;Desde el exterior con España;Asia Pacífico;238176981,23
2019T3;Desde el exterior con España;C.E.M.E.A.;354062893,61
2019T3;Desde el exterior con España;Estados Unidos;129126971,39
2019T3;Desde el exterior con España;Resto;40596856,24
2019T3;Desde el exterior con España;Unión Europea;1751228945,17
2019T3;Desde España con el exterior;América Latina;12875912,31
2019T3;Desde España con el exterior;Asia Pacífico;62173483,57
2019T3;Desde España con el exterior;C.E.M.E.A.;74349425,37
2019T3;Desde España con el exterior;Estados Unidos;129045063
2019T3;Desde España con el exterior;Resto;20803323,81
2019T3;Desde España con el exterior;Unión Europea;5734073841,76
2019T4;Dentro de España;Dentro de España;4109778476,46
2019T4;Desde el exterior con España;América Latina;155062151,55
2019T4;Desde el exterior con España;Asia Pacífico;253287725,39
2019T4;Desde el exterior con España;C.E.M.E.A.;306791680,67
2019T4;Desde el exterior con España;Estados Unidos;106159490,57
2019T4;Desde el exterior con España;Resto;48045866,9
2019T4;Desde el exterior con España;Unión Europea;1537778946,37
2019T4;Desde España con el exterior;América Latina;12887694,86
2019T4;Desde España con el exterior;Asia Pacífico;66003301,53
2019T4;Desde España con el exterior;C.E.M.E.A.;67975023,77
2019T4;Desde España con el exterior;Estados Unidos;126167916,48
2019T4;Desde España con el exterior;Resto;20211111,81
2019T4;Desde España con el exterior;Unión Europea;6555063265,9
2020T1;Dentro de España;Dentro de España;3772831074,15
2020T1;Desde el exterior con España;América Latina;122648678
2020T1;Desde el exterior con España;Asia Pacífico;227573655,61
2020T1;Desde el exterior con España;C.E.M.E.A.;252072749,58
2020T1;Desde el exterior con España;Estados Unidos;97846383,06
2020T1;Desde el exterior con España;Resto;48814118,39
2020T1;Desde el exterior con España;Unión Europea;1506595016,48
2020T1;Desde España con el exterior;América Latina;11659150,24
2020T1;Desde España con el exterior;Asia Pacífico;51858575,33
2020T1;Desde España con el exterior;C.E.M.E.A.;76593967,04
2020T1;Desde España con el exterior;Estados Unidos;118856254,52
2020T1;Desde España con el exterior;Resto;19896121,51
2020T1;Desde España con el exterior;Unión Europea;5936147290,3
2020T2;Dentro de España;Dentro de España;3819138856,54
2020T2;Desde el exterior con España;América Latina;47317957,81
2020T2;Desde el exterior con España;Asia Pacífico;129689271,35
2020T2;Desde el exterior con España;C.E.M.E.A.;120195468,27
